Group ,Watch,Dominant,Subordinate,Interaction,,,,
NPB_S,5,GGWR,GWBW,D,,,,
NPB_S,5,GGWR,GWBW,D,,,,
NPB_S,5,GGWR,GWBW,D,,,,
NPB_S,5,GGWR,GWBW,C,,,,
NPB_S,5,GGWR,GWBW,B,,,,
NPB_S,5,GGWR,GWBW,B,,,,
NPB_S,5,GGWR,YWRB,D,,,,
NPB_S,5,GGWR,/B,D,,,,
NPB_S,5,GGWR,/M,P,,,,
NPB_S,5,GGWR,/M,D,,,,
NPB_S,5,GGWR,/M,D,,,,
NPB_S,5,GGWR,RBWN,P,,,,
NPB_S,5,GGWR,RBWN,D,,,,
NPB_S,5,GWBW,RBWN,D,,,,
NPB_S,5,YWRB,/B,D,,,,
NPB_S,6,GGWR,YWRB,P,,,,
NPB_S,6,GGWR,YWRB,P,,,,
NPB_S,6,GGWR,YWRB,D,,,,
NPB_S,6,GGWR,YWRB,D,,,,
NPB_S,6,GGWR,YWRB,B,,,,
NPB_S,6,GGWR,YWRB,B,,,,
NPB_S,6,GGWR,YWRB,B,,,,
NPB_S,6,GGWR,YNWB,B,,,,
NPB_S,6,GGWR,YBGY,B,,,,
NPB_S,6,GGWR,YBGY,B,,,,
NPB_S,6,GGWR,YBGY,B,,,,
NPB_S,6,GGWR,YRYB,B,,,,
NPB_S,6,YWRB,GGWR,B,,,,
NPB_S,6,/W,YNWB,P,,,,
NPB_S,6,/W,YNWB,P,,,,
NPB_S,6,YWRB,RBWN,P,,,,
NPB_S,6,YWRB,RBWN,D,,,,
NPB_S,6,/B,GWBW,P,,,,
NPB_S,6,/B,YNWB,P,,,,
NPB_S,6,YWRB,YBGY,D,,,,
NPB_S,6,YWRB,YBGY,D,,,,
NPB_S,6,YWRB,YBGY,C,,,,
NPB_S,6,YWRB,RBWN,D,,,,
NPB_S,6,YWRB,RBWN,C,,,,
NPB_S,6,YWRB,/B,D,,,,
NPB_S,6,/B,RBWN,D,,,,
NPB_S,7,BBWW,GWBW,D,,,,
NPB_S,7,GGWR,GWBW,P,,,,
NPB_S,7,GGWR,GWBW,D,,,,
NPB_S,7,GGWR,GWBW,B,,,,
NPB_S,7,GGWR,GRYR,D,,,,
NPB_S,7,GGWR,YBGY,D,,,,
NPB_S,7,GGWR,YBGY,B,,,,
NPB_S,7,GRYR,YBGY,P,,,,
NPB_S,7,GRYR,YBGY,D,,,,
NPB_S,7,GRYR,YBGY,D,,,,
NPB_S,7,GRYR,YBGY,C,,,,
NPB_S,7,GRYR,YBGY,B,,,,
NPB_S,8,YWRB,RBWN,P,,,,
NPB_S,8,YWRB,GWBW,P,,,,
NPB_S,8,YWRB,GWBW,P,,,,
NPB_S,8,YWRB,GWBW,P,,,,
NPB_S,8,YWRB,GWBW,P,,,,
NPB_S,8,YWRB,GWBW,D,,,,
NPB_S,8,GGWR,GWBW,D,,,,
NPB_S,8,GGWR,GWBW,B,,,,
NPB_S,8,GGWR,YWRB,D,,,,
NPB_S,8,GGWR,YWRB,D,,,,
NPB_S,8,GGWR,YWRB,D,,,,
NPB_S,8,GGWR,YWRB,C,,,,
NPB_S,8,GGWR,YBGY,D,,,,
NPB_S,8,GGWR,YBGY,D,,,,
NPB_S,8,GGWR,YBGY,D,,,,
NPB_S,8,GGWR,YBGY,D,,,,
NPB_S,8,GGWR,YBGY,B,,,,
NPB_S,8,GGWR,/M,D,,,,
NPB_S,8,GGWR,/M,B,,,,
NPB_S,8,GGWR,/M,B,,,,
NPB_S,8,RBWN,/M,D,,,,
NPB_S,8,RBWN,/M,C,,,,
NPB_S,8,RBWN,/M,C,,,,
NPB_S,8,GGWR,/B,P,,,,
NPB_S,8,YWRB,/B,D,,,,
NPB_S,8,YWRB,/B,D,,,,
NPB_S,8,YWRB,/B,D,,,,
NPB_S,8,YWRB,/B,C,,,,
NPB_S,8,YWRB,/B,C,,,,
NPB_S,8,YBGY,GWBW,P,,,,
NPB_S,8,YWRB,YBGY,P,,,,
NPB_S,8,YWRB,YBGY,D,,,,
NPB_S,8,/B,GWBW,P,,,,
NPB_S,8,/B,RBWN,P,,,,
NPB_S,8,GWBW,RBWN,D,,,,
NPB_S,9,GGWR,/Y,D,,,,
NPB_S,9,GGWR,/Y,B,,,,
NPB_S,9,GGWR,GRYR,D,,,,
NPB_S,9,GGWR,GRYR,B,,,,
NPB_S,9,GGWR,RBWN,D,,,,
NPB_S,9,GGWR,YRYB,B,,,,
NPB_S,9,GGWR,YRYB,B,,,,
NPB_S,9,GGWR,YRYB,B,,,,
NPB_S,9,GGWR,YRYB,B,,,,
NPB_S,9,GGWR,YBGY,P,,,,
NPB_S,9,GGWR,YBGY,D,,,,
NPB_S,9,GRYR,YBGY,P,,,,
NPB_S,9,/B,RBWN,P,,,,
NPB_S,9,/B,RBWN,D,,,,
NPB_S,10,/B,RBWN,P,,,,
NPB_S,10,/B,GWBW,P,,,,
NPB_S,10,/B,GWBW,P,,,,
Hay_3W,1,WBWB,GNYN,D,,,,
Hay_3W,1,WBWB,GNYN,B,,,,
Hay_3W,1,GRRG,GGWY,D,,,,
Hay_3W,1,GRRG,GGWY,D,,,,
Hay_3W,1,GRRG,GGWY,D,,,,
Hay_3W,1,GRRG,GGWY,D,,,,
Hay_3W,1,GRRG,GGWY,D,,,,
Hay_3W,1,GRRG,GGWY,B,,,,
Hay_3W,1,GRRG,GGWY,B,,,,
Hay_3W,1,GRRG,GGWY,B,,,,
Hay_3W,1,GRRG,GGWY,B,,,,
Hay_3W,1,GRRG,GGWY,B,,,,
Hay_3W,1,GRRG,GGGG,D,,,,
Hay_3W,1,GRRG,GGGG,D,,,,
Hay_3W,1,GRRG,GGGG,D,,,,
Hay_3W,1,GRRG,GGGG,D,,,,
Hay_3W,1,GRRG,GGGG,B,,,,
Hay_3W,1,GRRG,GGGG,B,,,,
Hay_3W,1,GRRG,GGGG,B,,,,
Hay_3W,1,GRRG,RRBB,D,,,,
Hay_3W,1,GRRG,RRBB,C,,,,
Hay_3W,1,GGWY,RRBB,D,,,,
Hay_3W,1,GGWY,RRBB,D,,,,
